Name,Archiving,Big Data, Analytics, Batch Processing,Big Data, Analytics, Batch Processing & Business Intelligence (BI),Business Applications - Microsoft,Business Applications - Oracle,Business Applications - Other,Business Applications - SAP,Content Delivery,Database & Data Warehouse,Dev & Test,Digital Marketing,Disaster Recovery,High Availability,High Performance Computing (HPC),Internet of Things (IoT),Mobile,Other,Security & Compliance,Storage (Backup, Recovery & Asset Storage),Value (Cost Savings/TCO),Web & Web Apps,
T.A.I. Software Solution Srl,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Talend  Inc.,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,
TD SYNNEX Corporation,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,
Teleperformance,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Teradata,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,
Thoughtworks,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,
TIM,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,
Trend Micro Incorporated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,
VAR Group S.p.A.,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
VMengine-ITDM,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,
VTEX,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,
Web Site srl,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,
